Color_exterior,Color_interior,Fuel,Gearbox,Initial_registration,Mileage,Owners,power,Seller,price,Comfort_2-zone automatic climate control,Comfort_3-zone automatic climate control,Comfort_360° Camera,Comfort_4-zone automatic climate control,Comfort_Armrest,Comfort_Heated windscreen,Comfort_Heated steering wheel,Comfort_Hill Start Assist,Comfort_Parking_Aid,Comfort_Parking Aid Camera,Comfort_Parking aid rear sensors,Comfort_Parking aid sensors front,Comfort_Parking aid self-steering system,Comfort_Electrical window lifter,Comfort_Electric tailgate,Comfort_Electric side mirrors,Comfort_Electric seats,Comfort_Tinted windows,Comfort_Head-up display,Comfort_Air Conditioning,Comfort_Automatic climate control,Comfort_Leather interior,Comfort_Leather steering wheel,Comfort_Lightsensor,Comfort_lumbar support,Comfort_Multifunction steering wheel,Comfort_Navigation system,Comfort_Panorama roof,Comfort_Rainsensor,Comfort_Sliding_Roof,Comfort_Keyless central locking,Comfort_Seat heating,Comfort_Seat heating rear,Comfort_auxiliary_heater,Comfort_Start/Stop automatic,Comfort_Cruise_Control,Comfort_Foldable passenger seat,Comfort_Wind Deflector(for convertible),Comfort_partial rear seat,Entertainment_Android Auto,Entertainment_Apple CarPlay,Entertainment_Bluetooth,Entertainment_Onboard computer,Entertainment_CD,Entertainment_DAB radio,Entertainment_Handsfree,Entertainment_Induction charging for smartphones,Entertainment_MP3,Entertainment_Music streaming integrated,Entertainment_Radio,Entertainment_Soundsystem,Entertainment_TV,Entertainment_USB,Entertainment_Fully digital instrument cluster,Entertainment_W-Lan / Wifi hotspot,Extras_All-weather tires,Extras_alloy rims,"Extras_Alloy wheels (16"")","Extras_Alloy wheels (17"")","Extras_Alloy rims (18"")",Extras_Ambient lighting,Extras_Trailer hitch,Extras_Disabled access,Extras_Roof rails,Extras_E10-suitable,Extras_Electronic parking brake,Extras_Luggage compartment partition,Extras_Interior mirror automatically dimming,Extras_Catalyst,Extras_Awning,Extras_spare wheel,Extras_Breakdown kit,Extras_Particle filter,Extras_Smoker package,Extras_Range extender,Extras_spare wheel,Extras_Paddle shifters,Extras_Headlight cleaning,Extras_Sliding door,Extras_Ski bag,Extras_Summer tires,Extras_Spoilers,Extras_Sports suspension,Extras_Sports package,Extras_Sports seats,Extras_Voice control,Extras_Steel rims,Extras_Touchscreen,Extras_Tuning,Extras_Winter package,Extras_Winter tires,Security_ABS,Security_Adaptive Cruise Control,Security_Distance_Warning,Security_Airbag rear,Security_Alarmsystem,Security_Passenger airbag,Security_Bi-Xenon headlights,Security_Glare-free high beam,Security_ESP,Security_Driver_Airbag,Security_High Beam Assistant,Security_Speed ​​Limitation System,Security_Isofix,Security_Head_Airbag,Security_Cornering_Light,Security_LED headlights,Security_LED daytime running lights,Security_Fatigue Warning System,Security_Night Vision Assistant,Security_Foglights,Security_Emergency Brake Assist,Security_emergency_call_system,Security_Tire pressure monitoring system,Security_Side_Airbag,Security_Power Steering,Security_Lane Keeping Assist,Security_Daytime running lights,Security_Blind Spot Assistant,Security_Traction Control,Security_Traffic Sign Recognition,Security_Full-LED headlights,Security_Immobilizer,Security_Xenon headlights,Security_Central locking,Security_Central locking with radio remote control
0,7,0,1,117,243000,1,143,0,4300,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
0,2,1,1,131,199000,1,143,0,3990,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0
0,2,0,0,28,229850,1,150,0,10996,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0
10,6,1,1,30,114000,2,136,0,14500,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0
0,2,1,1,130,140000,1,143,0,3999,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
4,2,1,1,50,69229,1,143,0,7990,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
9,2,1,1,108,210000,1,143,0,2200,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
10,6,1,1,16,52000,1,143,0,8499,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1
0,6,1,1,65,199897,1,143,0,2350,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0
4,2,1,0,154,91800,1,136,0,15400,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1
